PLAYER_NAME,TEAM_ABBREVIATION,ARCHETYPE,COMPOSITE_SCORE_NORM,SALARY,VORPD
Victor Wembanyama,SAS,Elite Two-Way Big,95.39,11770308.0,6.2714
Shai Gilgeous-Alexander,OKC,Perimeter Playmaker,80.67,33729226.0,1.7521
Luka Dončić,DAL,Perimeter Playmaker,79.75,40475071.0,1.4373
Daniel Gafford,DAL,Rim Protector,73.91,12658514.0,4.1345
Chet Holmgren,OKC,Elite Two-Way Big,73.4,12082222.0,4.2894
Andre Drummond,CHI,Rim Protector,71.96,4399497.0,11.4527
Jalen Duren,DET,Rim Protector,71.91,5704514.0,8.8239
Walker Kessler,UTA,Elite Two-Way Big,67.2,4292974.0,10.6281
Alperen Sengun,HOU,Perimeter Playmaker,62.81,1119563.0,36.8322
Kevin Love,MIA,Stretch Big,59.3,3651582.0,10.3314
Jimmy Butler III,MIA,Perimeter Playmaker,57.29,1119563.0,31.9017
Grayson Allen,PHX,3-and-D Wing,48.3,14848301.0,1.7999
Ausar Thompson,DET,Defensive Specialist,48.21,7721117.0,3.4498
Donte DiVincenzo,NYK,3-and-D Wing,46.29,10549993.0,2.3428
Jordan Nwora,TOR,Bench / Fringe Player,34.75,1119563.0,11.7689
