OFF_RATING_ADJUSTED,DEF_RATING_ADJUSTED,AST_PCT_ADJUSTED,BLK,STL,TS_PCT,FG3_PCT,INFLUENCE_SCORE,ON_OFF_DIFF,PLAYER_NAME,PLAYER_ID_x,TEAM_ABBREVIATION,SEASON,COMPOSITE_SCORE_NORM,SALARY,VORPD,IS_SHOOTER,SEASON_WEIGHT,CLUSTER,ARCHETYPE,PCA_X,PCA_Y,PLAYER_ID_y,AGE,NET_SYNERGY_PROFILE,COMPOSITE_SYNERGY,SCENARIO
5.921428571428578,0.914285714285711,0.147,0.9,2.0,0.6304217471866951,0.353,0.1998436938581823,8.315819656609463,Shai Gilgeous-Alexander,1628983,OKC,2023-24,91.39,33729226.0,1.9548,1,0.45,3,Elite Playmaker,5.170731831049287,1.472002150706517,1628983,25.0,0.0607142857142821,91.4143,D
5.494117647058815,-4.917647058823533,0.2437647058823529,0.2,1.8,0.5647203994588511,0.355,0.1778869258295381,3.121295223036012,LaMelo Ball,1630163,CHA,2023-24,84.04,33399888.0,1.754,1,0.45,3,Elite Playmaker,3.5677865836721714,3.710527713335353,1630163,22.0,0.9145833333333352,84.4058,D
2.358823529411765,2.5,0.0442941176470588,0.3,2.1,0.5609679295109441,0.313,0.1262177841399624,7.183523613094687,Marcus Smart,203935,MEM,2023-24,78.08,17528347.0,3.0022,1,0.45,3,Elite Playmaker,2.450879776685061,1.8473043241143736,203935,30.0,4.480000000000002,79.872,D
7.96875,-0.8250000000000028,0.0075625,0.4,1.6,0.545386607926118,0.36,0.0965334296029228,8.512471867409442,De'Anthony Melton,1629001,PHI,2023-24,69.16,2710900.0,16.1216,1,0.45,5,Perimeter Scorer,2.3951499783180674,0.8239440892079393,1629001,26.0,-0.7050000000000068,68.878,D
0.0857142857142889,2.935714285714284,0.0289999999999999,3.6,1.2,0.5661451348732847,0.325,0.1766372820804648,6.17906336356933,Victor Wembanyama,1641705,SAS,2023-24,68.86,11770308.0,3.6876,1,0.45,4,Two-Way Big,3.550746009717124,-1.4905133924955456,1641705,20.0,-0.3888888888888904,68.7044,D
3.085714285714289,2.335714285714289,0.1139999999999999,0.1,1.0,0.5878419353187401,0.335,0.0875884483624922,13.181286549516,Tre Jones,1630200,SAS,2023-24,66.92,7039195.0,5.8904,1,0.45,0,Defensive Wing,1.7669978252879817,0.5443085886618653,1630200,24.0,1.704999999999997,67.602,D
0.2999999999999971,6.950000000000003,-0.0479166666666666,0.9,1.4,0.5488713344641696,0.36,0.1031878108792638,9.840227865014745,Tari Eason,1631106,HOU,2023-24,64.21,4994103.0,7.76,1,0.45,0,Defensive Wing,1.5470737979903937,-0.4840111405912286,1631106,23.0,2.878571428571425,65.3614,D
-1.5411764705882405,-0.5,0.1432941176470588,0.5,1.7,0.5871777117620761,0.417,0.1332893405699912,0.6657242478893225,Scotty Pippen Jr.,1630590,MEM,2023-24,65.26,1998018.0,19.9217,1,0.45,3,Elite Playmaker,2.1672987323762483,1.611709093119281,1630590,23.0,-1.9958333333333216,64.4617,D
-0.9153846153846246,5.207692307692312,0.1744615384615384,0.2,0.7,0.5773701618578466,0.308,0.1120098114004222,7.864596175227964,Jared Butler,1630215,WAS,2023-24,64.27,2019706.0,19.2176,1,0.45,0,Defensive Wing,0.868003914764254,1.137492164309552,1630215,23.0,-0.524999999999995,64.06,D
1.326666666666668,1.3533333333333388,0.1513333333333333,0.3,1.1,0.5252439449415071,0.273,0.1255333028410201,0.780250416166776,Russell Westbrook,201566,LAC,2023-24,65.36,2020490.0,19.7497,1,0.45,2,Versatile Scorer,0.582936903674008,2.6006186626656373,201566,35.0,-5.646875000000004,63.1012,D
1.6000000000000083,-3.1500000000000057,0.1130833333333333,0.7,1.2,0.5837019391333389,0.297,0.1575995235660015,-0.8375662960786148,Alperen Sengun,1630578,HOU,2023-24,61.18,3922440.0,9.1076,1,0.45,3,Elite Playmaker,1.608783450265095,1.762532413466178,1630578,21.0,0.5112499999999975,61.3845,D
4.83846153846153,1.5230769230769283,0.0885384615384615,0.4,1.0,0.5555166376580755,0.369,0.0733281961708659,9.512418091585364,Kris Dunn,1627739,UTA,2023-24,62.48,4774686.0,7.7542,1,0.45,5,Perimeter Scorer,1.5309722043116585,0.3587783391370463,1627739,30.0,-5.724999999999998,60.19,D
-0.9357142857142832,1.8714285714285808,0.1807857142857143,0.1,1.2,0.5515501075350862,0.371,0.0849387165604032,1.1468991575587502,Chris Paul,101108,GSW,2023-24,60.0,2020490.0,17.0968,1,0.45,2,Versatile Scorer,0.5949980091933871,1.87457725108168,101108,39.0,0.3449999999999946,60.138,D
-9.673333333333332,2.653333333333336,0.1353333333333333,0.1,0.7,0.5218216052047966,0.326,0.1257590068543559,-9.72755068374259,Bones Hyland,1630538,LAC,2023-24,40.19,2020490.0,7.2923,1,0.45,1,Bench / Role Player,-2.0514924334448192,2.482557683902336,1630538,23.0,-0.530000000000004,39.978,D
4.524999999999992,-1.4500000000000028,-0.0834166666666666,1.4,0.7,0.6767238403808643,0.3558647214854111,0.0839137562072271,3.754689849244102,Dereck Lively II,1641726,DAL,2023-24,39.16,4622428.0,2.9647,0,0.45,4,Two-Way Big,1.7323974113348428,-3.104340955317417,1641726,20.0,1.655555555555553,39.8222,D
